기준년도,노드id,노드위치,y좌표,x좌표,노드유형,노드명,위험운전행동회귀계수,교차로규모회귀계수,회귀확산도,교차로위험수준,교차로위험순위,교차로안전등급,교차로참조집단위험수준,권역교차로위험순위,20km이상과속카운트,40km이상과속카운트,60km이상과속카운트,장기과속카운트,급가속카운트,급출발카운트,급감속카운트,급정지카운트,급좌회전카운트,급우회전카운트,급유턴카운트,급앞지르기카운트,급진로변경카운트,공회전기준시간초과카운트,사고카운트
2018,1100037700,서울특별시 노원구,205285.1644,461619.0533,101,노원역_노해길_진입_2,0.424729206,0.57107048,0.560021374,-0.334351589,25506,B,1.334351589,123,7.1,0.1,0,0,613.4,80.3,70.7,10.3,231,91.6,16,109.5,143.7,77.4,1
2018,1100037600,서울특별시 노원구,205287.3868,461603.1124,101,노원역_노해길_진출_2,0.424729206,0.57107048,0.560021374,0.547065927,63408,C,1.452934073,189,6.3,0.4,0.2,0,853.5,143,107.9,13.8,183.7,112.7,23.4,80,117.4,52.3,2
2018,1040011400,서울특별시 광진구,205294.6266,448404.0768,101,영동대교(북단)_일반국도47호선_,0.424729206,0.57107048,0.560021374,-0.132332523,41354,B,1.132332523,42,1162.1,279.4,8.6,0,209.8,26.6,51.2,16.8,3.3,35.5,16.2,39.8,158.8,8.1,1
2018,1100031300,서울특별시 노원구,205299.1394,460606.9214,101,상계주공아파트1단지,0.424729206,0.57107048,0.560021374,-1.538897514,4553,B,2.538897514,134,134.8,14,0.6,0,2439.9,335.7,114.9,21.8,5.8,7,1.5,45.1,115.2,0.8,1
2018,1070004700,서울특별시 성북구,205305.8466,456120.8386,101,(주)양지종합주류,0.424729206,0.57107048,0.560021374,-0.145858566,39831,A,0.145858566,23,0,0,0,0,22.2,7.4,1.9,4.3,0,0.3,0.1,0.3,0,10.6,
2018,1100039500,서울특별시 노원구,205318.8164,461777.3461,101,노원롯데백화점,0.424729206,0.57107048,0.560021374,0.526690164,63169,C,5.473309836,243,48,1.8,0,0,4199.4,616.5,267.9,52.9,1453.5,1972.3,511.6,704.1,1456.8,41.7,6
2018,1100038700,서울특별시 노원구,205327.9214,461681.2502,101,노원역_일반국도3호선_진출_1,0.424729206,0.57107048,0.560021374,-0.65017054,15215,B,1.65017054,122,6.8,0.6,0,0,726.5,113.8,182.5,54.9,152.7,76.2,40.6,216.7,533.6,65.6,1
2018,1100024700,서울특별시 노원구,205332.5442,459383.1299,101,연지초등학교,0.424729206,0.57107048,0.560021374,-1.111598934,7965,A,1.111598934,12,10.8,0.8,0.2,0,128.6,16.2,59.1,3.8,20.8,35.1,13.6,558.6,571.8,2.1,
2018,1100010200,서울특별시 노원구,205342.0469,463239.5577,101,상계상원초교,0.424729206,0.57107048,0.560021374,-0.823681613,11841,A,0.823681613,56,1,0.4,0,0,351.3,63.6,18.8,13.9,224.3,144.3,2.6,9.6,19.5,1.4,
2018,1100038900,서울특별시 노원구,205342.6157,461688.0828,101,노원역_일반국도3호선_진입_1,0.424729206,0.57107048,0.560021374,-1.934725195,2744,A,1.934725195,19,23.6,1.5,0.1,0,1277.4,189.5,119.8,23.4,373.3,101.3,76.3,189.6,396.7,94.8,
2018,1100037200,서울특별시 노원구,205351.0919,461573.6974,101,노원역_일반국도3호선_진입_2,0.424729206,0.57107048,0.560021374,0.946380792,69275,C,2.053619208,191,7.3,0.8,0.1,0,1686.2,235.6,174.9,30.1,159.3,158.3,34.8,240.2,254,49.3,3
2018,1100006400,서울특별시 노원구,205353.0023,460001.2882,101,중계롯데아파트,0.424729206,0.57107048,0.560021374,0.77744865,66581,D,0.22255135,304,0.6,0,0,0,34.6,1.4,5,4.2,2.2,3.9,1.3,0.4,1.6,4.2,1
2018,1100037300,서울특별시 노원구,205365.9346,461579.5566,101,노원역_일반국도3호선_진출_2,0.424729206,0.57107048,0.560021374,0.543671735,63366,C,1.456328265,190,6.8,0.4,0.1,0,1088.1,184.3,133.3,19.2,93.1,66.3,26.3,156.3,184.4,11.6,2
